stage,oxygen_mg,saturation,kpa,temperature,dry_weight_g,mo2,mo2.1,mo2.2,mo2.3,mo2.4,kpa.mean
Adult,1,8.05,2.07,6,0.7493,0.044241219,0.0590434,0.00184626,1.846260147,1.383402728,2.36
Adult,1,8.05,2.07,6,0.7158,0.040805904,0.05700741,0.001782596,1.782595693,1.275981997,2.36
Adult,1,8.05,2.07,6,0.7982,0.041188824,0.051602134,0.001613575,1.613575179,1.287955708,2.36
Adult,1,8.05,2.07,6,0.7416,0.031380468,0.042314547,0.001323157,1.323156568,0.981252911,2.36
Adult,1,8.05,2.07,6,1.1033,0.031177598,0.028258495,0.00088363,0.883630248,0.974909252,2.36
Adult,1,8.05,2.07,6,0.9056,0.037417376,0.041317774,0.001291988,1.291987914,1.170024255,2.36
Adult,1,8.05,2.07,6,0.7493,0.029662815,0.039587368,0.001237879,1.237878923,0.927542677,2.36
Adult,1,8.05,2.07,6,1.0017,0.03414279,0.034084845,0.001065818,1.06581755,1.06762944,2.36
Adult,1,8.05,2.07,6,0.6962,0.031286233,0.044938571,0.001405209,1.405208585,0.978306217,2.36
Adult,1,8.05,2.07,6,0.9989,0.040721185,0.040766028,0.001274735,1.274735079,1.27333287,2.36
Embryo,1,8.05,2.07,6,0.000092,2.46E-06,0.026735404,0.000836004,0.836003869,7.69E-05,2.36
Embryo,1,8.05,2.07,6,0.000085,1.62E-06,0.019075822,0.000596492,0.596492255,5.07E-05,2.36
Embryo,1,8.05,2.07,6,0.000086,2.27E-06,0.026357443,0.000824185,0.824185223,7.09E-05,2.36
Embryo,1,8.05,2.07,6,0.000101,0.000003323,0.032900707,0.00102879,1.028790094,0.000103908,2.36
Embryo,1,8.05,2.07,6,0.00008657,1.89E-06,0.021807009,0.000681895,0.681895202,5.90E-05,2.36
Embryo,1,8.05,2.07,6,0.000106,2.66E-06,0.025097282,0.000784781,0.784780539,8.32E-05,2.36
Embryo,1,8.05,2.07,6,0.000103,2.21E-06,0.021476382,0.000671557,0.671556672,6.92E-05,2.36
Embryo,1,8.05,2.07,6,0.000101,2.06E-06,0.020430306,0.000638846,0.638846345,6.45E-05,2.36
Embryo,1,8.05,2.07,6,0.000092,2.06E-06,0.022395406,0.000700294,0.700294124,6.44E-05,2.36
Embryo,1,8.05,2.07,6,0.000081,2.80E-06,0.034607001,0.001082145,1.082145135,8.77E-05,2.36
Juvenile,1,8.05,2.07,6,0.15101,0.00675,0.044699027,0.001397718,1.397718154,0.211069418,2.36
Juvenile,1,8.05,2.07,6,0.1576,0.00588,0.037309645,0.001166656,1.166655556,0.183864916,2.36
Juvenile,1,8.05,2.07,6,0.21712,0.006633443,0.030551965,0.000955346,0.955345995,0.207424722,2.36
Juvenile,1,8.05,2.07,6,0.14628,0.006583279,0.04500464,0.001407275,1.407274536,0.205856119,2.36
Juvenile,1,8.05,2.07,6,0.1437,0.006693626,0.046580559,0.001456553,1.456552824,0.209306641,2.36
Juvenile,1,8.05,2.07,6,0.14479,0.006687692,0.04618891,0.001444306,1.444306135,0.209121085,2.36
Juvenile,1,8.05,2.07,6,0.11872,0.006755934,0.056906453,0.001779439,1.779438797,0.211254974,2.36
Juvenile,1,8.05,2.07,6,0.16842,0.006687692,0.039708421,0.001241664,1.241664204,0.209121085,2.36
Juvenile,1,8.05,2.07,6,0.16599,0.006760442,0.040728008,0.001273546,1.273546205,0.211395935,2.36
Juvenile,1,8.05,2.07,6,0.15607,0.006684725,0.042831584,0.001339324,1.33932407,0.209028308,2.36
Megalopae,1,8.05,2.07,6,0.00078,9.98E-05,0.127908524,0.003999641,3.999641148,0.00311972,2.36
Megalopae,1,8.05,2.07,6,0.000806,8.41E-05,0.104401046,0.003264573,3.264573052,0.002631246,2.36
Megalopae,1,8.05,2.07,6,0.000744,0.00010635,0.142943899,0.004469791,4.469790463,0.003325524,2.36
Megalopae,1,8.05,2.07,6,0.00064,0.000092664,0.1447875,0.004527439,4.527439024,0.002897561,2.36
Megalopae,1,8.05,2.07,6,0.000758,0.00009372,0.123641161,0.003866203,3.866202656,0.002930582,2.36
Megalopae,1,8.05,2.07,6,0.000724,0.00011717,0.161836393,0.00506055,5.060550119,0.003663838,2.36
Megalopae,1,8.05,2.07,6,0.000712,0.000132243,0.185733962,0.005807816,5.807816185,0.004135165,2.36
Megalopae,1,8.05,2.07,6,0.000632,0.000121892,0.192867427,0.006030876,6.030876394,0.003811514,2.36
Megalopae,1,8.05,2.07,6,0.000714,0.000109558,0.153442322,0.004798071,4.798071369,0.003425823,2.36
Megalopae,1,8.05,2.07,6,0.000778,0.000137599,0.176862178,0.0055304,5.530399551,0.004302651,2.36
Adult,2,16.1,4.14,6,0.7005,0.075238091,0.107406269,0.003358545,3.358544994,2.352660768,4.71
Adult,2,16.1,4.14,6,0.8355,0.06206324,0.074282753,0.002322788,2.322787769,1.940689181,4.71
Adult,2,16.1,4.14,6,0.6239,0.069866798,0.111983969,0.003501688,3.501687575,2.184702878,4.71
Adult,2,16.1,4.14,6,0.5777,0.061156329,0.105861742,0.003310248,3.310248351,1.912330472,4.71
Adult,2,16.1,4.14,6,0.5881,0.065060057,0.110627542,0.003459273,3.459272731,2.034398293,4.71
Adult,2,16.1,4.14,6,0.5728,0.064085509,0.111881127,0.003498472,3.498471758,2.003924623,4.71
Adult,2,16.1,4.14,6,0.571,0.070225535,0.122986926,0.003845745,3.845745036,2.195920415,4.71
Adult,2,16.1,4.14,6,0.5796,0.074302222,0.128195691,0.004008621,4.008620717,2.323396567,4.71
Adult,2,16.1,4.14,6,0.5735,0.06422953,0.111995693,0.003502054,3.502054191,2.008428079,4.71
Adult,2,16.1,4.14,6,0.8236,0.025295945,0.030713872,0.000960409,0.960408745,0.790992642,4.71
Embryo,2,16.1,4.14,6,0.000085,2.18E-06,0.025597102,0.00080041,0.800409703,6.80E-05,4.71
Embryo,2,16.1,4.14,6,0.000091,3.34E-06,0.036681935,0.001147027,1.147027352,0.00010438,4.71
Embryo,2,16.1,4.14,6,0.000094,3.63E-06,0.038641085,0.001208289,1.208289084,0.000113579,4.71
Embryo,2,16.1,4.14,6,0.000071,3.52E-06,0.049607292,0.001551197,1.551197383,0.000110135,4.71
Embryo,2,16.1,4.14,6,0.00008,3.21E-06,0.040097749,0.001253838,1.253838311,0.000100307,4.71
Embryo,2,16.1,4.14,6,0.000085,1.75E-06,0.02058148,0.000643574,0.643573489,5.47E-05,4.71
Embryo,2,16.1,4.14,6,0.000101,2.94E-06,0.029103299,0.000910047,0.910046867,9.19E-05,4.71
Embryo,2,16.1,4.14,6,0.000082,2.05E-06,0.02498069,0.000781135,0.781134776,6.41E-05,4.71
Embryo,2,16.1,4.14,6,0.000083,2.98E-06,0.0359455,0.001123999,1.123999374,9.33E-05,4.71
Embryo,2,16.1,4.14,6,0.000086,1.46E-06,0.016950209,0.000530025,0.530025297,4.56E-05,4.71
Juvenile,2,16.1,4.14,6,0.0909,0.009334973,0.102694975,0.003211225,3.211224996,0.291900352,4.71
Juvenile,2,16.1,4.14,6,0.14629,0.009422567,0.064410191,0.002014077,2.014077268,0.294639364,4.71
Juvenile,2,16.1,4.14,6,0.20624,0.009384894,0.045504721,0.001422912,1.422911845,0.293461339,4.71
Juvenile,2,16.1,4.14,6,0.08905,0.009306064,0.104503805,0.003267786,3.267786271,0.290996367,4.71
Juvenile,2,16.1,4.14,6,0.09999,0.009409787,0.094107283,0.002942692,2.942691778,0.294239751,4.71
